iter	Passed	Remaining
0	157	157182
1	165	82721
2	174	57865
3	181	45187
4	189	37639
5	196	32596
6	204	28939
7	212	26329
8	221	24349
9	230	22821
10	240	21582
11	247	20373
12	255	19383
13	263	18575
14	270	17772
15	277	17077
16	284	16464
17	291	15930
18	298	15437
19	306	15028
20	313	14636
21	321	14295
22	329	13983
23	337	13728
24	344	13445
25	352	13209
26	359	12940
27	365	12690
28	371	12451
29	378	12250
30	387	12117
31	396	11980
32	404	11864
33	413	11753
34	423	11675
35	432	11581
36	440	11467
37	448	11357
38	458	11295
39	468	11251
40	479	11206
41	487	11122
42	496	11039
43	505	10974
44	513	10887
45	522	10826
46	529	10744
47	538	10674
48	546	10600
49	555	10545
50	564	10503
51	571	10420
52	578	10337
53	586	10265
54	592	10185
55	601	10135
56	608	10074
57	615	9997
58	622	9920
59	628	9853
60	636	9799
61	643	9730
62	650	9677
63	657	9622
64	665	9575
65	673	9525
66	680	9473
67	686	9413
68	695	9383
69	703	9340
70	712	9316
71	718	9260
72	726	9224
73	738	9243
74	746	9209
75	754	9178
76	762	9135
77	770	9104
78	778	9073
79	785	9032
80	792	8995
81	803	8996
82	811	8966
83	820	8952
84	832	8963
85	841	8948
86	851	8932
87	858	8897
88	865	8859
89	872	8823
90	879	8784
91	886	8744
92	893	8709
93	899	8668
94	906	8633
95	912	8595
96	919	8557
97	926	8528
98	932	8490
99	939	8458
100	946	8424
101	953	8392
102	960	8364
103	969	8356
104	976	8323
105	982	8288
106	991	8277
107	998	8243
108	1005	8217
109	1011	8186
110	1018	8157
111	1025	8128
112	1031	8094
113	1038	8071
114	1046	8051
115	1054	8033
116	1060	8006
117	1068	7988
118	1075	7959
119	1081	7929
120	1089	7912
121	1095	7884
122	1102	7862
123	1108	7833
124	1114	7804
125	1122	7784
126	1128	7755
127	1135	7737
128	1142	7715
129	1149	7689
130	1155	7668
131	1163	7648
132	1169	7622
133	1176	7601
134	1182	7579
135	1190	7560
136	1196	7537
137	1203	7517
138	1210	7497
139	1217	7479
140	1223	7455
141	1232	7445
142	1240	7434
143	1248	7419
144	1255	7402
145	1264	7399
146	1279	7424
147	1287	7410
148	1293	7390
149	1301	7377
150	1309	7361
151	1317	7348
152	1325	7335
153	1334	7328
154	1342	7319
155	1351	7314
156	1360	7307
157	1369	7299
158	1380	7301
159	1388	7290
160	1398	7285
161	1405	7270
162	1414	7265
163	1422	7251
164	1432	7248
165	1439	7230
166	1448	7223
167	1455	7208
168	1462	7192
169	1469	7174
170	1476	7156
171	1482	7138
172	1489	7119
173	1496	7103
174	1503	7088
175	1509	7069
176	1516	7052
177	1523	7034
178	1529	7015
179	1536	6999
180	1544	6989
181	1552	6976
182	1559	6962
183	1567	6950
184	1575	6941
185	1582	6926
186	1591	6919
187	1598	6902
188	1604	6884
189	1611	6868
190	1617	6849
191	1625	6840
192	1631	6821
193	1638	6808
194	1644	6790
195	1651	6772
196	1657	6756
197	1664	6741
198	1674	6739
199	1682	6730
200	1693	6732
201	1703	6731
202	1717	6741
203	1727	6739
204	1736	6735
205	1746	6732
206	1757	6734
207	1767	6728
208	1775	6718
209	1782	6704
210	1790	6694
211	1796	6677
212	1804	6666
213	1810	6650
214	1817	6636
215	1824	6622
216	1830	6606
217	1839	6598
218	1845	6582
219	1852	6568
220	1858	6551
221	1865	6536
222	1872	6525
223	1879	6512
224	1886	6499
225	1893	6483
226	1900	6470
227	1906	6456
228	1913	6443
229	1920	6428
230	1926	6413
231	1932	6398
232	1939	6385
233	1947	6374
234	1954	6361
235	1960	6346
236	1966	6332
237	1974	6320
238	1981	6307
239	1988	6295
240	1994	6280
241	2000	6265
242	2007	6253
243	2014	6242
244	2022	6232
245	2029	6219
246	2035	6206
247	2041	6191
248	2048	6178
249	2055	6167
250	2062	6155
251	2069	6142
252	2076	6131
253	2083	6119
254	2089	6103
